location_ID,plot_ID,x.m,y.m,burn_severity,WD_0cm_1.sec,WD_0cm_2.sec,WD_0cm_3.sec,WD_1cm_1.sec,WD_1cm_2.sec,WD_1cm_3.sec,WD_2cm_1.sec,WD_2cm_2.sec,WD_2cm_3.sec,WD_3cm_1.sec,WD_3cm_2.sec,WD_3cm_3.sec,WD_4cm.hydrophobic,WD_5cm.hydrophobic,litter_depth.cm,theta_i.percent,LF1,LF2,LF3,ground_cover,overstory1,overstory2,notes,S.mm_hr0.5,kfs.mm_hr,hf.m,a1,a2,c1,c2,bulk_density.gcm3,soil_texture_class,sand.percent,silt.percent,clay.percent,total_organic_carbon.percent,total_nitrogen.percent,notes_soil
1_3_6,1,3,6,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.5,NA,F,,,L,no live,,too rocky for soil moisture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_3_7,1,3,7,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.5,1.7,F,,,L,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_3_8,1,3,8,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,1,1.2,L,,,L,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_3_9,1,3,9,high,3,3,7,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.3,1.8,G,,,R,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_3_10,1,3,10,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,3.5,F,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_4_0,1,4,0,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1.3,WD,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_4_1,1,4,1,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,2.5,F,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_4_2,1,4,2,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,B,no live,,too rocky for soil moisture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_4_3,1,4,3,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,F,,,B,no live,,too rocky for soil moisture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_4_4,1,4,4,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.9,F,,,WD,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_4_5,1,4,5,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.1,,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_4_6,1,4,6,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.7,F,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_4_7,1,4,7,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.2,,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_4_8,1,4,8,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,F,,,B,no live,,too rocky for soil moisture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_4_9,1,4,9,high,3,3,3,59,57,3,3,3,3,3,3,3,FALSE,FALSE,0.2,0.3,F,,,L,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_4_10,1,4,10,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,1.1,1.9,F,,,L,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_5_0,1,5,0,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.4,WD,,,B,no live,,NA,60.504888411656104,285.74504169671195,0.018567487265080906,1.0704469723902212,3.8879818939846293,0.10794545769177577,0.030860320789241627,NA,NA,NA,NA,NA,NA,NA,NA
1_5_1,1,5,1,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,F,,,B,no live,,too rocky for soil moisture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
