location_ID,plot_ID,burn_severity,x.m,y.m,WD_0cm_1.sec,WD_0cm_2.sec,WD_0cm_3.sec,WD_1cm_1.sec,WD_1cm_2.sec,WD_1cm_3.sec,WD_2cm_1.sec,WD_2cm_2.sec,WD_2cm_3.sec,WD_3cm_1.sec,WD_3cm_2.sec,WD_3cm_3.sec,WD_4cm.hydrophobic,WD_5cm.hydrophobic,litter_depth.cm,theta_i.percent,LF1,LF2,LF3,ground_cover,overstory1,overstory2,notes
1_9_3,1,high,9,3,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,R,no live,,too rocky for soil moisture
1_9_4,1,high,9,4,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.4,F,,,R,no live,,NA
1_9_5,1,high,9,5,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,F,,,B,no live,,too rocky for soil moisture
1_9_6,1,high,9,6,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1,,,,WD,no live,,NA
1_9_7,1,high,9,7,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1.1,,,,B,no live,,NA
1_9_8,1,high,9,8,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.4,F,,,B,no live,,NA
1_9_9,1,high,9,9,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,F,,,B,no live,,NA
1_9_10,1,high,9,10,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,B,no live,,too rocky for soil moisture
1_10_0,1,high,10,0,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,2.2,F,,,B,no live,,too rocky for soil moisture
1_10_1,1,high,10,1,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1.1,,,,R,no live,,NA
1_10_2,1,high,10,2,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.9,F,,,B,no live,,NA
1_10_3,1,high,10,3,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.3,,,,B,no live,,NA
1_10_4,1,high,10,4,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.2,L,,,B,no live,,NA
1_10_5,1,high,10,5,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.9,,,,R,no live,,NA
1_10_6,1,high,10,6,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.4,F,,,B,no live,,NA
1_10_7,1,high,10,7,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,R,no live,,too rocky for soil moisture
1_10_8,1,high,10,8,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,SD,,,SD,no live,,woody dead
1_10_9,1,high,10,9,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.5,,,,B,no live,,NA
1_10_10,1,high,10,10,3,3,3,120,140,140,150,300,300,20,20,20,FALSE,FALSE,0,NA,,,,B,no live,,too rocky for soil moisture
2_0_0,2,high,0,0,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,B,no live,,too rocky for soil moisture
2_0_1,2,high,0,1,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,B,no live,,too rocky for soil moisture
2_0_2,2,high,0,2,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,2.1,1.8,,,,L,no live,,NA
2_0_3,2,high,0,3,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,F,,,B,no live,,too rocky for soil moisture
2_0_4,2,high,0,4,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1.1,F,,,R,no live,,NA
2_0_5,2,high,0,5,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,F,,,B,no live,,too rocky for soil moisture
2_0_6,2,high,0,6,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,F,,,R,no live,,too rocky for soil moisture
2_0_7,2,high,0,7,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,F,,,R,no live,,too rocky for soil moisture
2_0_8,2,high,0,8,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.9,NA,F,,,L,no live,,too rocky for soil moisture
2_0_9,2,high,0,9,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,2,0.7,L,,,L,no live,,NA
2_0_10,2,high,0,10,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,B,no live,,too rocky for soil moisture
2_1_0,2,high,1,0,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,B,no live,,too rocky for soil moisture
2_1_1,2,high,1,1,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,R,no live,,too rocky for soil moisture
2_1_2,2,high,1,2,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.1,1.2,,,,L,no live,,NA
2_1_3,2,high,1,3,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,1.2,0.7,,,,L,no live,,NA
2_1_4,2,high,1,4,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,F,L,,B,no live,,too rocky for soil moisture
2_1_5,2,high,1,5,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,3.3,NA,,,,L,no live,,litter is loose packed sticks/too rocky for soil moisture
2_1_6,2,high,1,6,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1.2,F,,,F,no live,,NA
2_1_7,2,high,1,7,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,1.9,NA,,,,L,no live,,too rocky for soil moisture
2_1_8,2,high,1,8,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1,F,,,B,no live,,NA
2_1_9,2,high,1,9,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,1.5,NA,,,,L,no live,,too rocky for soil moisture
2_1_10,2,high,1,10,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.6,,,,R,no live,,NA
2_2_0,2,high,2,0,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,R,no live,,too rocky for soil moisture
2_2_1,2,high,2,1,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,B,no live,,too rocky for soil moisture
